Archive:  students-tests.zip
3300100 2.32
3400100 2.42
3500100 2.50
3600100 2.59
3700100 2.65
3800100 2.74
3900100 2.84
4000100 2.92
4100100 3.02
4200100 3.10
4300100 3.17
4400100 3.38
4500100 3.36
4600100 3.46
4700100 3.10
4800100 3.19
4900100 3.26
5000100 3.32
5100100 3.41
5200100 3.49
5300100 3.56
5400100 3.63
5500100 3.71
5600100 3.78
5700100 3.86
5800100 3.93
5900100 4.06
6000100 4.09
6100100 4.16
6200100 4.30
6300100 4.33
6400100 4.45
6500100 4.47
6600100 4.56
6700100 4.63
6800100 4.73
6900100 4.81
7000100 4.92
7100100 5.00
7200100 5.03
7300100 5.14
7400100 5.22
7500100 5.32
7600100 5.35
7700100 5.49
7800100 5.55
7900100 5.62
8000100 5.93
8100100 5.80
8200100 5.86
8300100 5.96
8400100 6.03
8500100 6.11
8600100 6.18
8700100 6.26
8800100 6.38
8900100 6.46
9000100 6.52
9100100 6.58
9200100 6.67
9300100 6.74
9400100 6.82
9500100 6.92
9600100 7.01
9700100 7.08
9800100 7.16
9900100 7.25
10000100 7.35
10100100 7.45
10200100 7.55
10300100 7.62
10400100 7.67
Running plotting tests; #edges = #vertices
200 0.00
200200 0.05
400200 0.12
600200 0.20
800200 0.29
1000200 0.37
1200200 0.45
1400200 0.54
1600200 0.62
1800200 0.71
2000200 0.79
2200200 0.88
2400200 0.97
2600200 1.06
2800200 1.15
3000200 1.23
3200200 1.32
3400200 1.41
3600200 1.51
3800200 1.59
4000200 1.67
4200200 1.77
4400200 1.84
4600200 1.95
4800200 2.02
5000200 2.13
5200200 2.20
5400200 2.27
5600200 2.38
5800200 2.47
6000200 2.56
6200200 2.63
6400200 2.73
6600200 2.82
6800200 2.91
7000200 3.01
7200200 3.07
7400200 3.17
7600200 3.26
7800200 3.35
8000200 3.43
8200200 3.50
8400200 3.18
8600200 3.24
8800200 3.32
9000200 3.40
9200200 3.48
9400200 3.54
9600200 3.65
9800200 3.71
10000200 3.80
10200200 3.89
10400200 3.94
10600200 4.03
10800200 4.10
11000200 4.17
11200200 4.24
11400200 4.34
11600200 4.41
11800200 4.63
12000200 4.57
12200200 4.69
12400200 4.71
12600200 4.81
12800200 4.91
13000200 4.99
13200200 5.09
13400200 5.17
13600200 5.26
13800200 5.35
14000200 5.39
14200200 5.45
14400200 5.57
14600200 5.61
14800200 5.74
15000200 5.85
15200200 5.89
15400200 5.97
15600200 6.08
15800200 6.22
16000200 6.23
16200200 6.31
16400200 6.38
16600200 6.50
16800200 6.56
17000200 6.69
17200200 6.74
17400200 6.81
17600200 6.89
17800200 7.01
18000200 7.04
18200200 7.13
18400200 7.27
18600200 7.29
18800200 7.49
19000200 7.49
19200200 7.59
19400200 7.74
19600200 7.79
19800200 7.85
